Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Yield_tons_per_hectare,Soil_Type_Chalky,Soil_Type_Clay,Soil_Type_Loam,Soil_Type_Peaty,Soil_Type_Sandy,Soil_Type_Silt,Weather_Condition_Cloudy,Weather_Condition_Rainy,Weather_Condition_Sunny
467.0270756784195,18.066903489363245,0,1,3.5232921857937765,True,False,False,False,False,False,False,True,False
291.73843637148747,31.568366744066708,0,1,3.765592627499603,True,False,False,False,False,False,False,True,False
248.93053228169504,32.55312409415869,0,0,2.008213429322251,False,False,False,False,True,False,False,False,True
814.7944760032128,25.582083316563768,0,0,4.424290864062592,False,False,False,True,False,False,False,True,False
965.7067607736592,15.226229904520547,1,0,6.734544093404853,False,False,False,True,False,False,False,False,True
868.5153614357262,38.93930002130308,0,1,6.375773892171027,False,True,False,False,False,False,True,False,False
306.73662841407213,17.514740126705565,1,1,4.993640045025243,False,False,False,False,False,True,False,False,True
293.2641618441417,22.49419643662993,0,0,2.8383654663403504,False,False,False,True,False,False,False,False,True
352.8749542099584,39.896141725895575,0,0,3.005565742329739,False,False,True,False,False,False,False,True,False
469.2337107046649,19.796553872386397,0,1,3.983484371568449,True,False,False,False,False,False,False,False,True
412.15782691016807,16.70739924176322,1,1,5.228181672194411,False,False,False,False,True,False,False,True,False
362.481310075744,35.65787603801441,1,0,3.183182037673135,False,True,False,False,False,False,False,True,False
113.90391101699308,17.657256548114546,1,0,2.2710742435540863,False,False,False,True,False,False,False,False,True
875.1244369685471,17.107771543849417,1,1,7.014568963465659,False,False,False,False,True,False,False,False,True
106.93181511670136,24.73329145712402,1,1,3.9722730442160734,False,False,True,False,False,False,False,True,False
830.5199297962567,29.7984891244067,1,0,6.043631375211053,True,False,False,False,False,False,False,True,False
508.5962462984138,28.80930631454864,1,0,4.465374386549794,False,False,False,False,True,False,False,True,False
247.68802601788016,22.785785260364275,1,0,2.7517245699581325,False,True,False,False,False,False,False,False,True
861.3210718593588,38.2930114852081,1,0,6.633238651108806,False,False,False,False,False,True,False,True,False
913.6675771254804,32.20264827965248,0,0,4.792933277337236,True,False,False,False,False,False,True,False,False
808.0127228359304,23.899861581573152,1,0,6.1639426048311385,True,False,False,False,False,False,True,False,False
143.7854747909703,28.622089118564883,1,0,1.9212291247833384,True,False,False,False,False,False,True,False,False
677.0495534620444,28.24450385412303,1,1,6.2124199115589605,False,False,False,False,False,True,False,True,False
755.4379906580541,34.57103148796025,1,0,5.256284499470272,False,False,False,False,True,False,False,False,True
178.86208589490946,28.36600143439271,0,0,1.9011143912979105,False,False,False,True,False,False,False,False,True
579.2304030679044,39.192101014349205,1,0,4.664917125916447,True,False,False,False,False,False,True,False,False
427.1201365887094,34.02540118692875,1,1,5.077029370846446,True,False,False,False,False,False,False,True,False
843.5478165674814,36.865019894888505,0,0,4.728565100525376,False,False,True,False,False,False,False,True,False
823.9154412176598,15.823838847001918,0,1,5.32020778625773,False,False,False,False,False,True,False,True,False
392.735674889847,27.483962202447373,1,1,5.243159439383243,False,True,False,False,False,False,True,False,False
165.32818527228903,34.142869457195914,0,1,3.2257511670944368,False,False,False,True,False,False,True,False,False
696.2023388517127,28.574616960352856,0,0,4.69784866369064,False,False,False,False,True,False,True,False,False
998.042793467647,38.46267872910988,1,1,9.173854701028716,False,False,True,False,False,False,False,False,True
502.6631844891118,33.99941278356232,1,1,5.564021587755742,False,False,False,False,False,True,False,False,True
298.8094750376213,31.3106191343201,0,1,2.436159823677336,False,False,True,False,False,False,False,True,False
521.8311339452496,17.130054998511564,1,0,4.423951985071189,True,False,False,False,False,False,False,False,True
142.59779651002094,35.66564479885736,0,0,1.5056786797648352,True,False,False,False,False,False,False,True,False
967.8336894120446,15.87036679819523,1,1,8.17970283837703,True,False,False,False,False,False,False,False,True
662.7352246062071,36.07060598974337,0,0,3.849530015192857,False,False,True,False,False,False,True,False,False
841.9508367963326,17.32406206792504,1,1,7.213276080520071,True,False,False,False,False,False,False,True,False
